Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2019,SE_ADT_ACTS,,F,Y15T24,PT,,10.0
2019,SE_ADT_ACTS,,M,Y15T24,PT,,20.4
2019,SE_ADT_ACTS,,F,Y15T49,PT,,5.9
2019,SE_ADT_ACTS,NP1,F,Y15T49,PT,NP1,3.6
2019,SE_ADT_ACTS,NP2,F,Y15T49,PT,NP2,2.7
2019,SE_ADT_ACTS,NP3,F,Y15T49,PT,NP3,13.9
2019,SE_ADT_ACTS,NP4,F,Y15T49,PT,NP4,6.4
2019,SE_ADT_ACTS,NP5,F,Y15T49,PT,NP5,2.9
2019,SE_ADT_ACTS,NP6,F,Y15T49,PT,NP6,1.2
2019,SE_ADT_ACTS,NP7,F,Y15T49,PT,NP7,2.6
2019,SE_ADT_ACTS,,M,Y15T49,PT,,15.5
2019,SE_ADT_ACTS,NP1,M,Y15T49,PT,NP1,10.8
2019,SE_ADT_ACTS,NP2,M,Y15T49,PT,NP2,7.4
2019,SE_ADT_ACTS,NP3,M,Y15T49,PT,NP3,28.8
2019,SE_ADT_ACTS,NP4,M,Y15T49,PT,NP4,12.6
2019,SE_ADT_ACTS,NP5,M,Y15T49,PT,NP5,12.8
2019,SE_ADT_ACTS,NP6,M,Y15T49,PT,NP6,6.5
2019,SE_ADT_ACTS,NP7,M,Y15T49,PT,NP7,12.2
